DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
2015-02-26-12.02.00,2/25/15,44646341, ,NI-INSTORE,11/21/23,SM-DISC-B100,747738621200,WT-IND,31978-WT-000,5199632905,16 N BROOKE ST,FDL-15-17-10-34-769-04,
2015-03-09-12.03.00,3/8/15,45667399,02,NI-INSTORE,8/21/25,SM-DISC-B200,646317653500,EX-COM,39892-EX-000,9164707290,187 MORNINGSIDE DR FLDS,FDL-15-17-13-22-250-02,
2015-03-09-12.03.00,3/8/15,45667399,02,NI-INSTORE,8/21/25,SM-DISC-B200,860639463787,EX-PUB,39892-EX-000,9164707290,187 MORNINGSIDE DR FLDS,FDL-15-17-13-22-250-02,
2015-10-09-12.10.00,10/8/15,47775334,03,NI-INSTORE,1/30/26,SM-DISC-B58,079227008500,WT-RES,1666-WT-000,1095143067,441 W SCOTT ST,FDL-15-17-04-44-836-00,
2015-10-29-12.10.00,10/28/15,47775353,02,NI-INSTORE,10/2/24,SM-DISC-B58,331929359000,WT-RES,19044-WT-000,9816728451,352 FOREST AVE,FDL-15-17-15-22-255-00,
2016-02-12-12.02.00,2/11/16,47775619,02,NI-INSTORE,1/26/26,SM-DISC-B100,527295629900,WT-COM,30422-WT-000,9285691335,1508 ROGERSVILLE RD,FDL-15-17-21-12-257-00,
2016-02-15-12.02.00,2/14/16,48247408,02,NI-INSTORE,10/30/25,SM-DISC-B100,011914692800,WT-COM,18178-WT-000,4613167669,18 FOREST AVE,FDL-15-17-15-12-315-00,
2016-02-18-12.02.00,2/17/16,48124447,02,NI-INSTORE,4/15/24,SM-DISC-B58,756193734300,WT-RES,19298-WT-000,7095784115,335 GROVE ST,FDL-15-17-15-23-556-00,
2016-03-29-12.03.00,3/28/16,48124660,01,NI-INSTORE,11/7/25,SM-DISC-B58,261034117500,WT-RES,16818-WT-000,1020804152,463 BRUCE ST,FDL-15-17-14-34-761-00,
2016-05-04-12.05.00,5/3/16,48419477,03,NI-INSTORE,8/19/24,SM-DISC-B58,758510774300,WT-RES,6396-WT-000,7241159879,28 E REES ST,FDL-15-17-10-41-152-00,
2016-05-05-12.05.00,5/4/16,48124804,03,NI-INSTORE,7/7/25,SM-DISC-B75,127002154000,WT-COM,6910-WT-000,0738302695,1 S MAIN ST,FDL-15-17-10-44-832-00,
2016-06-02-12.06.00,6/1/16,48124800,03,NI-INSTORE,11/6/23,SM-DISC-B75,037850126200,WT-IND,5988-WT-000,7508345365,233 W DIVISION ST,FDL-15-17-10-34-769-04,
2016-07-05-12.07.00,7/4/16,48419633,02,NI-INSTORE,11/15/23,SM-DISC-B58,225226022500,WT-RES,19208-WT-000,2754622940,328 WESTERN AVE,FDL-15-17-15-23-511-00,
2016-08-01-12.08.00,7/31/16,51111176,03,NI-INSTORE,2/22/24,SM-DISC-B58,321215090200,WT-RES,332-WT-000,0242677711,235 E SCOTT ST,FDL-15-17-02-33-538-00,
2016-08-09-12.08.00,8/8/16,51111157,03,NI-INSTORE,7/22/24,SM-DISC-B58,304325880700,WT-RES,31842-WT-000,3792568131,528 PORTAGE ST,FDL-15-17-09-41-059-01,
2016-10-18-12.10.00,10/17/16,20160239,02,NI-INSTORE,5/2/24,SM-DISC-B58,987832993200,WT-RES,19718-WT-000,7832572123,362 CEDAR ST,FDL-15-17-15-31-040-00,
2016-12-12-12.12.00,12/11/16,20160288,01,NI-INSTORE,7/17/24,SM-DISC-B58,494271644000,EX-RES,25446-EX-000,2973860441,130 CUMBERLYNN DR,FDL-15-17-23-14-785-00,
